Episode,Score,Duration
1356,240,2.519
1357,110,2.126
1358,270,3.112
1359,440,3.541
1360,270,3.244
1361,210,2.237
1362,270,2.823
1363,320,3.291
1364,260,3.121
1365,330,3.616
1366,300,3.014
1367,420,3.565
1368,330,2.623
1369,470,3.271
1370,240,7.034
1371,330,4.289
1372,290,3.587
1373,370,3.903
1374,330,3.738
1375,210,4.68
1376,290,3.693
1377,280,3.475
1378,260,2.979
1379,190,2.894
1380,280,3.335
1381,110,2.456
1382,180,2.539
1383,300,2.188
1384,300,2.907
1385,230,7.235
1386,110,2.176
1387,280,4.552
1388,230,2.563
1389,360,3.455
1390,400,4.463
1391,200,2.175
1392,420,4.895
1393,370,3.655
1394,430,3.764
1395,270,2.871
1396,560,4.069
1397,360,3.435
1398,260,4.337
1399,380,2.86
1400,390,4.139
1401,550,5.544
1402,350,2.943
1403,260,2.933
1404,420,4.012
1405,360,2.664
1406,390,3.309
1407,290,2.922
1408,440,4.112
1409,330,3.067
1410,220,3.25
1411,690,5.545
1412,290,3.667
1413,420,4.833
1414,340,3.477
1415,160,2.167
1416,330,5.662
1417,470,4.229
1418,260,3.483
1419,460,3.945
1420,470,2.919
1421,250,2.921
1422,310,3.532
1423,190,2.794
1424,310,2.771
1425,330,3.645
1426,290,3.378
1427,330,2.98
1428,220,2.648
1429,280,4.959
1430,200,4.576
1431,830,4.777
1432,260,2.804
1433,260,3.652
1434,380,3.293
1435,800,5.861
1436,350,2.94
1437,400,2.547
1438,420,3.677
1439,330,2.699
1440,380,2.817
1441,150,2.124
1442,250,1.971
1443,320,5.072
1444,230,3.461
1445,250,3.406
1446,240,2.906
1447,320,2.854
1448,220,3.268
1449,490,3.596
1450,250,5.009
1451,330,2.783
1452,250,3.249
1453,260,3.464
1454,280,3.095
1455,800,6.52
1456,260,2.93
1457,350,4.333
1458,610,4.839
1459,260,3.608
1460,500,4.424
1461,290,3.671
1462,200,2.559
1463,370,3.473
1464,210,2.864
1465,340,2.792
1466,210,2.869
1467,310,2.988
